Found 6345 SNOMED concepts missing ICD-10 cache
[100/6345] cached | rate=9.58/s | eta=10.9 min
[200/6345] cached | rate=9.51/s | eta=10.8 min
[300/6345] cached | rate=9.50/s | eta=10.6 min
[400/6345] cached | rate=9.50/s | eta=10.4 min
[500/6345] cached | rate=9.49/s | eta=10.3 min
[600/6345] cached | rate=9.49/s | eta=10.1 min
[700/6345] cached | rate=9.49/s | eta=9.9 min
[800/6345] cached | rate=9.49/s | eta=9.7 min
[900/6345] cached | rate=9.49/s | eta=9.6 min
[1000/6345] cached | rate=9.48/s | eta=9.4 min
[1100/6345] cached | rate=9.45/s | eta=9.2 min
[1200/6345] cached | rate=9.43/s | eta=9.1 min
[1300/6345] cached | rate=9.41/s | eta=8.9 min
[1400/6345] cached | rate=9.39/s | eta=8.8 min
[1500/6345] cached | rate=9.36/s | eta=8.6 min
[1600/6345] cached | rate=9.36/s | eta=8.5 min
[1700/6345] cached | rate=9.35/s | eta=8.3 min
[1800/6345] cached | rate=9.34/s | eta=8.1 min
[1900/6345] cached | rate=9.33/s | eta=7.9 min
[2000/6345] cached | rate=9.33/s | eta=7.8 min
[2100/6345] cached | rate=9.33/s | eta=7.6 min
[2200/6345] cached | rate=9.33/s | eta=7.4 min
[2300/6345] cached | rate=9.32/s | eta=7.2 min
[2400/6345] cached | rate=9.31/s | eta=7.1 min
[2500/6345] cached | rate=9.31/s | eta=6.9 min
[2600/6345] cached | rate=9.31/s | eta=6.7 min
[2700/6345] cached | rate=9.31/s | eta=6.5 min
[2800/6345] cached | rate=9.30/s | eta=6.3 min
[2900/6345] cached | rate=9.31/s | eta=6.2 min
[3000/6345] cached | rate=9.30/s | eta=6.0 min
[3100/6345] cached | rate=9.30/s | eta=5.8 min
[3200/6345] cached | rate=9.30/s | eta=5.6 min
[3300/6345] cached | rate=9.30/s | eta=5.5 min
[3400/6345] cached | rate=9.30/s | eta=5.3 min
[3500/6345] cached | rate=9.30/s | eta=5.1 min
[3600/6345] cached | rate=9.30/s | eta=4.9 min
[3700/6345] cached | rate=9.30/s | eta=4.7 min
[3800/6345] cached | rate=9.30/s | eta=4.6 min
[3900/6345] cached | rate=9.29/s | eta=4.4 min
[4000/6345] cached | rate=9.29/s | eta=4.2 min
[4100/6345] cached | rate=9.29/s | eta=4.0 min
[4200/6345] cached | rate=9.29/s | eta=3.8 min
[4300/6345] cached | rate=9.29/s | eta=3.7 min
[4400/6345] cached | rate=9.29/s | eta=3.5 min
[4500/6345] cached | rate=9.28/s | eta=3.3 min
[4600/6345] cached | rate=9.28/s | eta=3.1 min
[4700/6345] cached | rate=9.28/s | eta=3.0 min
[4800/6345] cached | rate=9.28/s | eta=2.8 min
[4900/6345] cached | rate=9.28/s | eta=2.6 min
[5000/6345] cached | rate=9.28/s | eta=2.4 min
[5100/6345] cached | rate=9.28/s | eta=2.2 min
[5200/6345] cached | rate=9.28/s | eta=2.1 min
[5300/6345] cached | rate=9.27/s | eta=1.9 min
[5400/6345] cached | rate=9.27/s | eta=1.7 min
[5500/6345] cached | rate=9.27/s | eta=1.5 min
[5600/6345] cached | rate=9.27/s | eta=1.3 min
[5700/6345] cached | rate=9.27/s | eta=1.2 min
[5800/6345] cached | rate=9.27/s | eta=1.0 min
[5900/6345] cached | rate=9.27/s | eta=0.8 min
[6000/6345] cached | rate=9.27/s | eta=0.6 min
[6100/6345] cached | rate=9.27/s | eta=0.4 min
[6200/6345] cached | rate=9.27/s | eta=0.3 min
[6300/6345] cached | rate=9.27/s | eta=0.1 min
✅ Cached 6345 ICD-10 mappings in 11.4 min
