keyword_text,base_esi,is_red_flag,resource_estimate,risk_tier,high_acuity_pct,sample_size,esi_1_count,esi_2_count,esi_3_count,esi_4_count,esi_5_count,mode_esi_raw
abdominal pain,3,False,2,mode_based,23.24,35936,643,7707,27484,101,1,3
chest pain,2,True,3,high,65.06,28484,970,17561,9897,55,1,2
transfer,2,True,3,high,73.59,23221,3029,14059,6111,18,4,2
s p fall,2,True,3,high,42.52,21289,1215,7838,11155,1076,5,3
dyspnea,2,True,3,high,71.04,18815,2016,11351,5403,43,2,2
headache,3,False,2,moderate,35.12,14327,505,4526,9001,292,3,3
fever,2,True,3,high,45.83,12901,764,5149,6896,90,2,3
alcohol intoxication,3,False,2,moderate,28.88,10624,192,2876,7266,287,3,3
back pain,4,False,1,low,23.66,10126,243,2153,6541,1169,20,3
dizziness,2,True,3,high,50.71,9470,627,4175,4620,48,0,3
nausea vomiting,3,False,2,moderate,27.14,9461,247,2321,6851,42,0,3
weakness,2,True,3,high,55.57,9384,535,4680,4143,25,1,2
suicidal ideation,2,True,3,high,97.56,8263,130,7931,199,2,1,2
wound,3,False,2,mode_based,14.18,7707,67,1026,5666,894,54,3
cough,3,False,2,moderate,28.05,7596,179,1952,5173,291,1,3
altered mental status,2,True,3,high,86.87,5979,1481,3713,781,4,0,2
lower back pain,4,False,1,low,11.93,5324,83,552,3559,1123,7,3
syncope,2,True,3,high,64.65,5273,289,3120,1857,7,0,2
abnormal labs,2,True,3,high,55.27,5240,103,2793,2325,18,1,2
ili,3,False,2,mode_based,16.65,5068,126,718,4056,165,3,3
motor vehicle collision,3,False,2,moderate,32.43,4971,707,905,2605,750,4,3
nausea,3,False,2,moderate,25.98,4931,84,1197,3606,44,0,3
sore throat,3,False,2,mode_based,14.41,4386,62,570,2963,782,9,3
palpitations,2,True,3,high,56.76,4362,395,2081,1878,8,0,2
nausea vomiting d,3,False,2,mode_based,18.82,4250,93,707,3447,3,0,3
neck pain,3,False,2,mode_based,23.89,4161,66,928,2695,470,2,3
brbpr,2,True,3,high,64.89,4141,119,2568,1449,5,0,2
vomiting,3,False,2,moderate,31.69,4127,142,1166,2799,20,0,3
diarrhea,3,False,2,mode_based,19.6,3999,85,699,3196,18,1,3
seizure,2,True,3,high,67.45,3850,454,2143,1253,0,0,2
rash,3,False,2,mode_based,11.87,3403,46,358,2021,952,26,3
dysuria,3,False,2,mode_based,8.03,3336,23,245,2596,470,2,3
head injury,3,False,2,moderate,37.17,3148,132,1038,1708,267,3,3
anxiety,3,False,2,moderate,29.77,3050,47,861,2025,114,3,3
rlq abdominal pain,3,False,2,mode_based,13.42,2987,21,380,2579,7,0,3
hematuria,3,False,2,mode_based,19.43,2686,32,490,2080,83,1,3
unable ambulate,3,False,2,mode_based,23.95,2597,34,588,1906,69,0,3
r flank pain,3,False,2,mode_based,14.75,2570,21,358,2165,26,0,3
hypertension,2,True,3,high,43.73,2545,38,1075,1402,29,1,3
allergic reaction,2,True,3,high,70.74,2526,506,1281,674,63,2,2
vaginal bleeding,3,False,2,moderate,31.66,2511,26,769,1703,13,0,3
shortness breath,2,True,3,high,68.38,2448,391,1283,773,1,0,2
confusion,2,True,3,high,74.62,2447,253,1573,614,7,0,2
hyperglycemia,2,True,3,high,66.53,2381,73,1511,793,4,0,2
epigastric pain,3,False,2,moderate,28.76,2323,24,644,1645,10,0,3
hypotension,2,True,3,high,90.69,2310,1061,1034,214,1,0,1
l flank pain,3,False,2,mode_based,15.16,2309,13,337,1939,19,1,3
pregnant,3,False,2,moderate,36.15,2293,35,794,1434,27,3,3
l leg pain,3,False,2,mode_based,18.61,2225,34,380,1610,199,2,3
depression,2,True,3,high,67.54,2218,14,1484,709,10,1,2
r leg pain,3,False,2,mode_based,15.99,2070,21,310,1534,204,1,3
tachycardia,2,True,3,high,90.11,2063,1030,829,203,1,0,1
ruq abdominal pain,3,False,2,mode_based,16.89,2061,15,333,1710,3,0,3
r knee pain,3,False,2,mode_based,4.29,2026,6,81,1325,611,3,3
lower abdominal pain,3,False,2,mode_based,15.02,2017,14,289,1697,17,0,3
l knee pain,3,False,2,mode_based,4.92,1990,9,89,1279,609,4,3
lightheaded,2,True,3,high,44.36,1934,88,770,1062,14,0,3
assault,3,False,2,moderate,32.83,1904,77,548,1136,142,1,3
dyspnea on exertion,2,True,3,high,70.65,1881,63,1266,551,1,0,2
presyncope,2,True,3,high,49.97,1841,58,862,921,0,0,3
urinary retention,3,False,2,moderate,26.39,1800,29,446,1302,23,0,3
laceration,3,False,2,mode_based,17.84,1788,33,286,1033,427,9,3
llq abdominal pain,3,False,2,mode_based,14.57,1757,18,238,1500,1,0,3
psych,2,True,3,high,73.91,1744,25,1264,451,3,1,2
r foot pain,3,False,2,mode_based,10.55,1640,26,147,1004,451,12,3
visual changes,2,True,3,high,71.91,1627,177,993,443,14,0,2
abnormal ct,2,True,3,high,66.42,1611,42,1028,540,1,0,2
r shoulder pain,3,False,2,mode_based,15.28,1597,12,232,1056,297,0,3
anemia,2,True,3,high,79.2,1596,59,1205,332,0,0,2
l arm pain,3,False,2,moderate,29.87,1590,11,464,976,139,0,3
constipation,3,False,2,mode_based,11.58,1554,7,173,1339,35,0,3
l foot pain,3,False,2,mode_based,9.4,1553,23,123,965,431,11,3
l shoulder pain,3,False,2,mode_based,20.95,1489,10,302,960,212,5,3
leg swelling,2,True,3,high,44.59,1487,26,637,813,11,0,3
abdominal distention,2,True,3,high,44.29,1454,35,609,805,5,0,3
lethargy,2,True,3,high,73.56,1437,162,895,375,5,0,2
hypoxia,2,True,3,high,94.54,1393,574,743,76,0,0,2
l hip pain,3,False,2,mode_based,19.29,1358,11,251,980,114,2,3
finger laceration,4,False,1,mode_based,2.67,1346,3,33,520,773,17,4
r hip pain,3,False,2,mode_based,19.92,1330,14,251,947,117,1,3
abscess,3,False,2,mode_based,18.22,1312,13,226,1003,69,1,3
asthma exacerbation,3,False,2,moderate,33.12,1274,70,352,833,19,0,3
epistaxis,3,False,2,moderate,25.34,1255,16,302,841,95,1,3
fatigue,2,True,3,high,42.19,1242,27,497,700,16,2,3
rectal pain,3,False,2,mode_based,11.43,1234,18,123,1012,80,1,3
overdose,2,True,3,high,88.02,1219,184,889,144,2,0,2
