index,keyword_text,esi_1_count,esi_2_count,esi_3_count,esi_4_count,esi_5_count,sample_size,haf,mode_esi_raw,base_esi,is_red_flag,risk_tier,resource_estimate,high_acuity_pct
228,abdominal pain,643,7707,27484,101,1,35936,0.23235752448797864,3,3,False,mode_based,2,23.24
3319,chest pain,970,17561,9897,55,1,28484,0.6505757618312035,2,2,True,high,3,65.06
20106,transfer,3029,14059,6111,18,4,23221,0.7358856207742991,2,2,True,high,3,73.59
17798,s p fall,1215,7838,11155,1076,5,21289,0.4252430832824463,3,2,True,high,3,42.52
5037,dyspnea,2016,11351,5403,43,2,18815,0.7104437948445389,2,2,True,high,3,71.04
7469,headache,505,4526,9001,292,3,14327,0.35115516158302507,3,3,False,moderate,2,35.12
6163,fever,764,5149,6896,90,2,12901,0.45833656305712733,3,2,True,high,3,45.83
870,alcohol intoxication,192,2876,7266,287,3,10624,0.2887801204819277,3,3,False,moderate,2,28.88
1620,back pain,243,2153,6541,1169,20,10126,0.23661860556982026,3,3,False,mode_based,2,23.66
4719,dizziness,627,4175,4620,48,0,9470,0.5070749736008447,3,2,True,high,3,50.71
12438,nausea vomiting,247,2321,6851,42,0,9461,0.27143008138674557,3,3,False,moderate,2,27.14
21058,weakness,535,4680,4143,25,1,9384,0.5557331628303496,2,2,True,high,3,55.57
19256,suicidal ideation,130,7931,199,2,1,8263,0.975553673000121,2,2,True,high,3,97.56
21308,wound,67,1026,5666,894,54,7707,0.14181912547035164,3,3,False,mode_based,2,14.18
4005,cough,179,1952,5173,291,1,7596,0.2805423907319642,3,3,False,moderate,2,28.05
1037,altered mental status,1481,3713,781,4,0,5979,0.8687071416624854,2,2,True,high,3,86.87
11583,lower back pain,83,552,3559,1123,7,5324,0.11927122464312546,3,3,False,mode_based,2,11.93
19580,syncope,289,3120,1857,7,0,5273,0.6465010430494974,2,2,True,high,3,64.65
597,abnormal labs,103,2793,2325,18,1,5240,0.5526717557251909,2,2,True,high,3,55.27
8282,ili,126,718,4056,165,3,5068,0.1665351223362273,3,3,False,mode_based,2,16.65
12116,motor vehicle collision,707,905,2605,750,4,4971,0.3242808288070811,3,3,False,moderate,2,32.43
12382,nausea,84,1197,3606,44,0,4931,0.25978503346177245,3,3,False,moderate,2,25.98
18885,sore throat,62,570,2963,782,9,4386,0.14409484724122207,3,3,False,mode_based,2,14.41
13751,palpitations,395,2081,1878,8,0,4362,0.567629527739569,2,2,True,high,3,56.76
12465,nausea vomiting d,93,707,3447,3,0,4250,0.18823529411764706,3,3,False,mode_based,2,18.82
